No.;NIT;RAZON SOCIAL;SUPERVISOR;REGIÓN;DEPARTAMENTO DOMICILIO;CIUDAD DOMICILIO;CIIU;MACROSECTOR;"INGRESOS OPERACIONALES
2018*";GANANCIA (PERDIDA) 2018;TOTAL ACTIVOS 2018;TOTAL PASIVOS 2018;TOTAL PATRIMONIO 2018;"INGRESOS OPERACIONALES
2017*";GANANCIA (PERDIDA) 2017;TOTAL ACTIVOS 2017;TOTAL PASIVOS 2017;TOTAL PATRIMONIO 2017;GRUPO EN NIIF
232;800,103,052;ORACLE COLOMBIA LIMITADA;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;SANTA-FE-BOGOTA D.C.;J6202 - Actividades de consultoría informática y actividades de administración de instalaciones informáticas;SERVICIOS;615,234,865;7,637,688;453,370,326;386,928,489;66,441,837;601,528,955;8,270,104;421,249,802;379,746,559;41,503,243;NIIF PLENAS-GRUPO 1
233;860,509,514;AUTOGERMANA S.A.S;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;G4511 - Comercio de vehículos automotores nuevos;COMERCIO;614,908,163;15,202,683;459,318,390;374,695,596;84,622,794;488,669,178;9,370,983;420,860,104;334,988,360;85,871,744;NIIF PLENAS-GRUPO 1
234;900,192,242;ESTUDIOS Y PROYECTOS DEL SOL S.A.S.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;F4210 - Construcción de carreteras y vías de ferrocarril;CONSTRUCCIÓN;612,082,785;410,344,655;1,670,626,093;353,533,050;1,317,093,043;242,611,443;-77,303,643;1,005,014,392;180,841,863;824,172,529;NIIF PLENAS-GRUPO 1
235;805,003,626;STF GROUP SA;SUPERSOCIEDADES;Costa Pacífica;VALLE;YUMBO-VALLE;C1410 - Confección de prendas de vestir, excepto prendas de piel;MANUFACTURA;610,248,963;1,142,528;440,638,070;329,688,998;110,949,072;618,815,383;2,444,991;439,367,154;304,270,058;135,097,096;NIIF PLENAS-GRUPO 1
236;860,039,561;PFIZER SAS;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador;COMERCIO;607,476,437;31,620,582;614,191,566;443,280,273;170,911,293;568,958,650;-23,516,227;567,896,747;429,324,772;138,571,975;NIIF PLENAS-GRUPO 1
238;900,138,670;C.I BIOCOSTA S.A;SUPERSOCIEDADES;Costa Atlántica;MAGDALENA;SANTA-MARTA-MAGDALENA;G4610 - Comercio al por mayor a cambio de una retribución o por contrata;COMERCIO;601,890,194;3,504,944;120,701,114;103,142,381;17,558,733;499,455,245;1,083,777;102,083,197;89,498,648;12,584,549;NIIF PLENAS-GRUPO 1
239;800,148,159;INDICOMERSOCIOS S.A.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;K6494 - Otras actividades de distribución de fondos;SERVICIOS;595,410,528;566,045,264;4,616,111,431;1,507,893,558;3,108,217,873;502,439,588;500,855,840;4,318,521,753;171,120,505;4,147,401,248;NIIF PLENAS-GRUPO 1
240;900,134,430;NOKIA SOLUTIONS AND NETWORKS COLOMBIA LTDA;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;J6190 - Otras actividades de telecomunicaciones;SERVICIOS;594,469,205;4,290,179;627,511,126;536,091,005;91,420,121;338,791,533;-193,192;265,478,692;178,348,750;87,129,942;NIIF PLENAS-GRUPO 1
241;890,300,292;Laboratorios Baxter S.A.;SUPERSOCIEDADES;Costa Pacífica;VALLE;CALI-VALLE;C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico;MANUFACTURA;588,550,393;76,514,716;779,170,522;190,992,087;588,178,435;551,979,597;51,810,062;805,580,391;211,916,671;593,663,720;NIIF PLENAS-GRUPO 1
242;811,032,292;CONSTRUCTORA CAPITAL MEDELLIN S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA;F4111 - Construcción de edificios residenciales;CONSTRUCCIÓN;582,923,789;89,919,767;575,811,712;439,064,682;136,747,030;280,161,547;19,565,012;637,968,439;583,245,318;54,723,121;NIIF PLENAS-GRUPO 1
243;800,068,713;Oleoducto de Colombia S.A.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;H4930 - Transporte por tuberías;SERVICIOS;581,867,042;265,459,920;593,387,185;210,449,986;382,937,199;561,227,625;233,830,920;516,593,095;144,878,684;371,714,411;NIIF PLENAS-GRUPO 1
244;891,300,241;MANUELITA S.A.;SUPERSOCIEDADES;Costa Pacífica;VALLE;PALMIRA-VALLE;C1071 - Elaboración y refinación de azúcar;MANUFACTURA;581,225,407;25,866,882;1,255,092,254;630,168,609;624,923,645;659,396,247;28,313,984;1,180,417,821;543,038,661;637,379,160;NIIF PLENAS-GRUPO 1
245;832,006,599;CSS CONSTRUCTORES SA;SUPERSOCIEDADES;Bogotá - Cundinamarca;CUNDINAMARCA;CHIA-CUNDINAMARCA;F4210 - Construcción de carreteras y vías de ferrocarril;CONSTRUCCIÓN;579,415,496;147,785,444;2,032,356,464;674,481,689;1,357,874,775;456,010,490;93,648,635;1,696,252,012;649,874,314;1,046,377,698;NIIF PLENAS-GRUPO 1
246;900,323,853;TELEPERFORMANCE COLOMBIA SAS;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;N8220 - Actividades de centros de llamadas (Call center);SERVICIOS;579,155,821;46,667,666;423,343,605;113,040,597;310,303,008;539,813,538;30,856,330;376,202,108;112,566,766;263,635,342;NIIF PLENAS-GRUPO 1
247;900,320,612;SAP COLOMBIA SAS;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;J6209 - Otras actividades de tecnologías de información y actividades de servicios informáticos;SERVICIOS;570,764,629;-83,862,085;636,293,825;720,044,315;-83,750,490;481,504,380;-41,181,693;478,441,116;480,994,596;-2,553,480;NIIF PLENAS-GRUPO 1
248;891,401,858;OPERADORA AVÍCOLA COLOMBIA S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA;A0145 - Cría de aves de corral;AGROPECUARIO;568,797,767;11,399,334;386,984,795;172,705,834;214,278,961;534,038,947;-9,122,506;374,560,976;171,247,664;203,313,312;NIIF PLENAS-GRUPO 1
249;890,302,594;MAYAGUEZ S A;SUPERFINANCIERA;Costa Pacífica;VALLE;CALI-VALLE;C1071 - Elaboración y refinación de azúcar;MANUFACTURA;567,664,646;14,329,766;1,402,450,465;901,930,494;500,519,971;504,968,293;52,700,879;1,349,989,195;859,532,061;490,457,134;NIIF PLENAS-GRUPO 1
250;830,037,946;PANAMERICANA LIBRERIA Y PAPELERIA SA;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;G4761 - Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados;COMERCIO;566,457,637;30,056,773;808,396,692;195,463,895;612,932,797;580,166,242;41,567,635;796,507,933;213,631,909;582,876,024;NIIF PYMES-GRUPO 2
251;800,229,035;TECNOGLASS S.A.S.;SUPERSOCIEDADES;Costa Atlántica;ATLANTICO;BARRANQUILLA-ATLANTICO;C2310 - Fabricación de vidrio y productos de vidrio;MANUFACTURA;563,891,978;-9,543,311;748,562,352;606,124,418;142,437,934;483,650,560;-4,497,907;694,592,720;534,308,015;160,284,705;NIIF PLENAS-GRUPO 1
252;900,104,079;EL ZUQUE S.A.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;K6494 - Otras actividades de distribución de fondos;SERVICIOS;562,895,507;572,568,196;4,276,018,702;4,973,547;4,271,045,155;478,707,655;480,891,592;3,994,769,950;2,310,183;3,992,459,767;NIIF PLENAS-GRUPO 1
253;800,087,795;DOW AGROSCIENCES DE COLOMBIA S.A;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;C2021 - Fabricación de plaguicidas y otros productos químicos de uso agropecuario;MANUFACTURA;561,383,195;30,316,080;698,003,014;554,753,941;143,249,073;568,706,202;41,549,361;555,076,119;446,354,463;108,721,656;NIIF PLENAS-GRUPO 1
254;900,585,053;TRAFIGURA ENERGY COLOMBIA SAS;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos;COMERCIO;559,782,440;-728,604;422,204,062;418,039,621;4,164,441;396,247,038;1,389,860;202,934,704;198,041,659;4,893,045;NIIF PYMES-GRUPO 2
255;805,011,074;ADIDAS COLOMBIA LTDA.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;G4643 - Comercio al por mayor de calzado;COMERCIO;559,030,855;11,835,276;263,109,090;258,196,884;4,912,206;560,747,167;1,990,326;289,126,708;334,549,110;-45,422,402;NIIF PLENAS-GRUPO 1
256;860,002,576;GENERAL DE EQUIPOS DE COLOMBIA S.A.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;COMERCIO;554,223,325;7,922,591;594,829,138;375,234,113;219,595,025;504,048,479;-1,905,062;584,770,547;384,139,497;200,631,050;NIIF PLENAS-GRUPO 1
257;900,210,622;BRIGHTSTAR COMERCIALIZADORA SAS;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;G4652 - Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones;COMERCIO;551,610,890;-7,236,714;164,034,113;168,925,798;-4,891,685;372,605,434;-722,760;153,876,256;149,086,104;4,790,152;NIIF PLENAS-GRUPO 1
258;890,904,224;C.I. Unión de Bananeros de Urabá S.A.- Unibán;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA;"C1702 - Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón";MANUFACTURA;550,786,000;5,300,000;879,289,000;314,492,000;564,797,000;540,783,000;33,683,000;843,845,000;256,223,000;587,622,000;NIIF PLENAS-GRUPO 1
301;890,914,525;MINEROS S.A.;SUPERFINANCIERA;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA;B0722 - Extracción de oro y otros metales preciosos;MINERO-HIDROCARBUROS;476,672,629;130,641,250;1,009,206,586;188,949,842;820,256,744;429,135,665;114,773,480;918,048,095;207,363,670;710,684,425;NIIF PLENAS-GRUPO 1
259;811,009,244;comercializadora internacional de metales preciosos y metales comunes inversiones generales s.a.s ciigsa;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA;C2421 - Industrias básicas de metales preciosos;MANUFACTURA;550,538,975;-476,495;94,153,782;91,018,250;3,135,532;227,047,808;-245,529;12,636,843;9,024,816;3,612,027;NIIF PLENAS-GRUPO 1
260;800,048,943;BIOFILM S.A.;SUPERSOCIEDADES;Costa Atlántica;BOLIVAR;CARTAGENA-BOLIVAR;C2221 - Fabricación de formas básicas de plástico;MANUFACTURA;549,666,868;3,168,319;912,545,056;536,476,998;376,068,058;486,005,514;-16,198,996;789,049,133;465,685,770;323,363,363;NIIF PLENAS-GRUPO 1
261;811,011,779;Renting Colombia S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA;N7710 - Alquiler y arrendamiento de vehículos automotores;SERVICIOS;548,825,707;86,110,942;1,287,015,799;1,021,459,710;265,556,089;495,260,548;108,203,506;1,242,782,841;948,403,791;294,379,050;NIIF PLENAS-GRUPO 1
262;900,479,267;FUNDICION RAMIREZ ZONA FRANCA SAS;SUPERSOCIEDADES;Costa Pacífica;VALLE;PALMIRA-VALLE;C2432 - Fundición de metales no ferrosos;MANUFACTURA;547,987,575;3,712,468;50,183,893;8,018,455;42,165,438;705,696,245;12,609,463;56,063,147;17,610,178;38,452,969;NIIF PLENAS-GRUPO 1
263;890,208,788;UNION DE DROGUISTAS SA. UNIDROGAS SA;SUPERSOCIEDADES;Centro - Oriente;SANTANDER;FLORIDABLANCA-SANTANDER;G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador;COMERCIO;537,132,345;5,319,965;299,519,810;201,935,684;97,584,126;484,315,395;3,830,897;233,784,048;159,380,584;74,403,464;NIIF PYMES-GRUPO 2
264;890,209,174;ISMOCOL S.A.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural;MINERO-HIDROCARBUROS;537,008,915;50,680,956;570,134,208;193,781,372;376,352,836;284,363,917;23,269,682;425,282,546;99,610,666;325,671,880;NIIF PYMES-GRUPO 2
265;890,926,766;COMERCIALIZADORA INTERNACIONAL BANACOL DE COLOMBIA S A  EN REORGANIZACION;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA;"G4620 - Comercio al por mayor de materias primas agropecuarias; animales vivos";COMERCIO;536,889,886;35,404,012;702,163,468;508,764,572;193,398,896;529,908,539;-4,844,837;476,372,619;326,804,308;149,568,311;NIIF PLENAS-GRUPO 1
266;890,900,076;CINE COLOMBIA S.A.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;J5914 - Actividades de exhibición de películas cinematográficas y videos;SERVICIOS;535,432,672;80,099,751;700,057,971;288,095,641;411,962,330;506,233,873;67,737,906;676,146,640;281,508,482;394,638,158;NIIF PLENAS-GRUPO 1
267;811,043,174;ZEUSS PETROLEUM SA;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;GIRARDOTA-ANTIOQUIA;G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos;COMERCIO;528,424,939;4,315,877;88,454,637;53,828,164;34,626,473;492,131,313;6,957,350;112,402,190;72,091,504;40,310,686;NIIF PYMES-GRUPO 2
268;860,005,265;Gaseosas Colombianas S.A.S;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;C1104 - Elaboración de bebidas no alcohólicas, producción de aguas minerales y de otras aguas embotelladas;MANUFACTURA;528,160,916;12,250,477;486,546,090;209,105,866;277,440,224;482,586,861;18,950,494;466,915,074;120,451,244;346,463,830;NIIF PLENAS-GRUPO 1
269;860,007,955;DETERGENTES LTDA.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador";MANUFACTURA;527,959,248;24,667,073;603,487,273;394,061,700;209,425,573;608,527,104;48,187,773;565,544,436;328,912,272;236,632,164;NIIF PLENAS-GRUPO 1
270;830,012,157;THOMAS GREG & SONS LIMITED (GUERNSEY) S.A.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;M7020 - Actividades de consultaría de gestión;SERVICIOS;527,023,314;218,219,991;433,941,596;175,090,488;258,851,108;111,691,228;52,397,806;330,255,339;195,055,749;135,199,590;NIIF PLENAS-GRUPO 1
271;800,221,789;BRINSA S.A.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA;C1089 - Elaboración de otros productos alimenticios n.c.p.;MANUFACTURA;524,527,411;41,185,306;714,256,373;392,918,451;321,337,922;508,273,840;34,575,673;708,407,930;404,637,033;303,770,897;NIIF PLENAS-GRUPO 1
272;860,005,050;MEXICHEM COLOMBIA SAS;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;C2229 - Fabricación de artículos de plástico n.c.p.;MANUFACTURA;521,652,845;30,339,552;444,985,804;129,459,018;315,526,786;498,367,811;33,397,717;456,267,937;137,402,393;318,865,544;NIIF PLENAS-GRUPO 1
273;830,131,993;EFECTIVO LTDA;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;H5229 - Otras actividades complementarias al transporte;SERVICIOS;520,051,012;48,352,713;329,335,018;198,502,319;130,832,699;516,680,929;37,428,498;329,212,950;229,047,316;100,165,634;NIIF PYMES-GRUPO 2
274;890,918,965;C.I TECNICAS BALTIME DE COLOMBIA S.A;SUPERSOCIEDADES;Costa Atlántica;MAGDALENA;SANTA-MARTA-MAGDALENA;"G4620 - Comercio al por mayor de materias primas agropecuarias; animales vivos";COMERCIO;519,195,660;3,906,356;259,212,360;161,684,187;97,528,173;460,968,666;5,836,756;166,965,824;82,315,254;84,650,570;NIIF PLENAS-GRUPO 1
275;899,999,107;EPS'S CONVIDA;SUPERSALUD;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;O8430- Actividades de planes de seguridad social de afiliacion obligatoria;SERVICIOS;515,869,347.53;-66,508,304.99;137,069,081.19;275,456,241.28;-138,387,160.09;475,860,956.39;-30,938,121.52;134,321,559.96;226,200,415.06;-91,878,855.1;REGIMEN R 414 de 2014 - CGN
276;800,206,842;BAKER HUGHES DE COLOMBIA;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural;MINERO-HIDROCARBUROS;515,845,880;13,524,349;336,672,441;117,767,919;218,904,522;386,933,334;15,012,429;274,169,335;83,845,026;190,324,309;NIIF PLENAS-GRUPO 1
277;900,612,501;CHM MINERIA SAS;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;COMERCIO;514,211,978;50,280,423;225,936,575;138,118,463;87,818,112;419,375,043;34,719,275;239,899,811;151,426,808;88,473,003;NIIF PLENAS-GRUPO 1
278;900,327,290;DERCO COLOMBIA SAS;SUPERSOCIEDADES;Bogotá - Cundinamarca;CUNDINAMARCA;CHIA-CUNDINAMARCA;G4511 - Comercio de vehículos automotores nuevos;COMERCIO;512,962,673;717,137;287,915,190;194,254,903;93,660,287;440,139,943;-14,767,828;232,833,936;169,719,992;63,113,944;NIIF PLENAS-GRUPO 1
279;900,166,896;HINO MOTORS MANUFACTURING COLOMBIA SA;SUPERSOCIEDADES;Bogotá - Cundinamarca;CUNDINAMARCA;COTA-CUNDINAMARCA;C2910 - Fabricación de vehículos automotores y sus motores;MANUFACTURA;511,706,091;9,384,414;176,994,904;93,425,214;83,569,690;378,442,788;12,140,213;152,506,307;80,301,674;72,204,633;NIIF PLENAS-GRUPO 1
302;900,388,600;MAC JOHNSON CONTROLS COLOMBIA S.A.S;SUPERSOCIEDADES;Costa Pacífica;VALLE;YUMBO-VALLE;C2720 - Fabricación de pilas, baterías y acumuladores eléctricos;MANUFACTURA;472,526,242;27,559,083;423,310,023;94,708,211;328,601,812;427,852,085;28,794,953;487,725,824;186,130,182;301,595,642;NIIF PLENAS-GRUPO 1
280;811,044,814;SOCIEDAD DE COMERCIALIZACION INTERNACIONAL GIRDLE & LINGERIE S.A.S;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA;C1410 - Confección de prendas de vestir, excepto prendas de piel;MANUFACTURA;509,496,471;31,979,508;258,751,710;221,152,766;37,598,944;23,701,263;10,128,135;266,081,775;223,427,881;42,653,894;NIIF PYMES-GRUPO 2
281;900,462,511;British American Tobacco Colombia SAS;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;G4632 - Comercio al por mayor de bebidas y tabaco;COMERCIO;508,327,322;22,943,989;766,373,046;534,840,414;231,532,632;506,472,488;-100,284,200;789,814,320;581,510,830;208,303,490;NIIF PLENAS-GRUPO 1
282;890,914,526;ALMACENES FLAMINGO S.A;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA;G4719 - Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas y tabaco;COMERCIO;508,292,101;6,845,883;603,284,791;411,543,218;191,741,573;503,205,901;7,019,449;619,059,577;429,163,887;189,895,690;NIIF PYMES-GRUPO 2
